City,Latitude,Longitude,Max Temp_F,Humidity_%,Cloudiness_%,Wind Speed,Country,Date
Melfi,40.9965,15.6514,42.24,84,79,5.41,IT,1607925600
Boende,-0.2167,20.8667,72.5,91,30,3.11,CD,1607925600
Quatre Cocos,-20.2078,57.7625,78.94,87,63,15.52,MU,1607925600
Asadābād,34.7824,48.1185,44.06,79,39,3.11,IR,1607925600
Dhangadhi,28.7079,80.5961,70.45,48,0,3.56,NP,1607925600
Romitan,39.9343,64.3814,30.11,83,0,0.65,UZ,1607925600
Igrim,63.1906,64.4162,18.93,93,33,8.97,RU,1607925600
Katsuura,35.1333,140.3,51.69,56,75,15.68,JP,1607925600
Waipawa,-41.4122,175.5153,56.73,71,18,8.86,NZ,1607925600
Kieta,-6.2167,155.6333,84.61,73,69,6.29,PG,1607925600
Santa Isabel Rio Negro,-0.4139,-65.0192,73.76,94,99,2.28,BR,1607925600
Mana,5.6592,-53.7767,76.89,87,29,6.64,GF,1607925600
Hualmay,-11.0964,-77.6139,66.7,86,94,6.46,PE,1607925600
Faya,18.3851,42.4509,57.67,48,0,1.81,SA,1607925600
Cherskiy,68.75,161.3,-17.9,87,100,5.53,RU,1607925600
Takoradze,4.8845,-1.7554,78.15,87,27,5.93,GH,1607925600
Viedma,-40.8135,-62.9967,64.29,27,40,15.79,AR,1607925600
Mandalgovi,45.7625,106.2708,-0.6,78,5,9.4,MN,1607925600
Chokurdakh,70.6333,147.9167,-17.55,89,100,6.62,RU,1607925600
Hasaki,35.7333,140.8333,48.51,55,86,19.66,JP,1607925600
Dingle,10.9995,122.6711,84.33,77,5,10.78,PH,1607925600
Klaksvík,62.2266,-6.589,46.47,91,100,37.45,FO,1607925600
Mayo,38.8876,-76.5119,45.77,74,29,6.53,US,1607925600
Kangaatsiaq,68.3065,-53.4641,18.23,94,100,14.29,GL,1607925600
Pacific Grove,36.6177,-121.9166,52.88,90,77,11.83,US,1607925600
Chumikan,54.7183,135.315,-6.36,80,100,20.22,RU,1607925600
Paciran,-6.8767,112.3761,80.94,79,100,6.4,ID,1607925600
Yayva,59.3303,57.2641,7.68,92,99,6.22,RU,1607925600
Syracuse,37.0881,15.2792,54.05,76,0,11.95,IT,1607925600
Aborlan,9.4352,118.5492,88.23,65,32,8.25,PH,1607925600
Port Hardy,50.6996,-127.4199,43.21,91,95,9.06,CA,1607925600
Leningradskiy,69.3833,178.4167,16.54,89,100,20.98,RU,1607925600
Te Anau,-45.4167,167.7167,69.6,42,98,2.08,NZ,1607925600
Codrington,-38.2667,141.9667,88.9,34,78,7.7,AU,1607925600
Shingū,33.7333,135.9833,49.55,60,54,17.07,JP,1607925600
Sorong,-0.8833,131.25,85.26,71,100,9.84,ID,1607925600
Las Cruces,32.3123,-106.7783,37.27,59,63,3.36,US,1607925600
Fairview,40.8126,-73.999,43.7,63,52,5.7,US,1607925600
Ulladulla,-35.35,150.4667,72.88,62,69,12.93,AU,1607925600
Lavrentiya,65.5833,-171.0,12.9,84,100,36.42,RU,1607925600
Darnah,32.767,22.6367,61.54,70,64,32.19,LY,1607925600
Cabedelo,-6.9811,-34.8339,78.06,87,56,13.4,BR,1607925600
Maningrida,-12.0667,134.2667,88.45,61,93,9.86,AU,1607925600
São Filipe,14.8961,-24.4956,74.43,73,16,9.37,CV,1607925600
Calvinia,-31.4707,19.776,65.26,34,0,3.83,ZA,1607925600
Cayenne,4.9333,-52.3333,77.13,93,34,2.95,GF,1607925600
Srivilliputtur,9.5081,77.6336,79.25,69,43,5.35,IN,1607925600
Olenegorsk,68.15,33.3,15.19,97,88,1.23,RU,1607925600
Baharly,38.4362,57.4316,34.81,78,0,12.01,TM,1607925600
Wau,7.7029,27.9953,81.36,29,20,4.12,SS,1607925600
Kavieng,-2.5744,150.7967,85.8,69,100,9.24,PG,1607925600
Yulara,-25.2406,130.9889,95.74,25,20,3.36,AU,1607925600
Pundaguitan,6.3711,126.1689,79.11,84,100,1.68,PH,1607925600
Santiago del Estero,-27.7951,-64.2615,65.97,42,8,6.51,AR,1607925600
Pāndoh,31.6833,77.05,64.2,29,0,3.74,IN,1607925600
Belmonte,-15.8631,-38.8828,74.07,81,0,1.79,BR,1607925600
Pimentel,-6.8367,-79.9342,66.79,85,90,9.98,PE,1607925600
Quryq,43.2,51.65,31.87,87,0,22.91,KZ,1607925600
Shimoda,34.6667,138.95,54.34,52,50,21.16,JP,1607925600
Bambanglipuro,-7.95,110.2833,82.74,73,98,8.79,ID,1607925600
Atasū,48.6814,71.6433,10.08,89,94,3.09,KZ,1607925600
Beyla,8.6833,-8.6333,66.7,92,1,1.97,GN,1607925600
Pringsewu,-5.3582,104.9744,84.6,74,84,2.57,ID,1607925600
Belaya Gora,68.5333,146.4167,-20.33,87,100,5.1,RU,1607925600
Bratsk,56.1325,101.6142,11.39,89,87,9.46,RU,1607925600
Tsaratanana,-16.7833,47.65,79.05,63,47,11.07,MG,1607925600
Port Lincoln,-34.7333,135.8667,80.4,53,5,7.31,AU,1607925600
Raudeberg,61.9875,5.1352,44.56,59,100,15.41,NO,1607925600
Beloha,-25.1667,45.05,86.92,47,0,6.98,MG,1607925600
Erzin,36.9559,36.2,58.62,64,100,10.65,TR,1607925600
Nemuro,43.3236,145.575,27.68,60,22,13.94,JP,1607925600
Mīnjūr,13.2667,80.2667,81.77,65,37,7.43,IN,1607925600
Buala,-8.145,159.5921,85.08,72,49,6.96,SB,1607925600
Orós,-6.2444,-38.9136,80.35,61,38,4.29,BR,1607925600
Grande Prairie,55.1667,-118.8027,3.85,85,40,2.93,CA,1607925600
Bariloche,-41.1456,-71.3082,45.64,73,41,19.26,AR,1607925600
Abu Samrah,35.3029,37.1841,53.8,66,69,10.36,SY,1607925600
Moundsville,39.9203,-80.7431,37.81,79,91,0.85,US,1607925600
Torrington,41.8007,-73.1212,33.33,88,41,5.86,US,1607925600
Gallup,35.5281,-108.7426,24.12,89,37,5.21,US,1607925600
Petropavlovsk-Kamchatskiy,53.0452,158.6483,32.36,86,95,43.11,RU,1607925600
Mitsamiouli,-11.3847,43.2844,83.01,64,0,6.44,KM,1607925600
Nome,64.5011,-165.4064,12.25,74,95,32.03,US,1607925600
Tambun,-6.2641,107.0712,92.66,56,41,13.6,ID,1607925600
Florián,5.8049,-73.9703,59.4,83,92,4.32,CO,1607925600
Santa Rosa,14.3122,121.1114,88.36,60,58,11.81,PH,1607925600
Yatou,37.15,122.3833,27.59,92,89,14.58,CN,1607925600
Pevek,69.7008,170.3133,14.9,88,100,22.15,RU,1607925600
Nacala,-14.5428,40.6728,84.79,77,33,9.04,MZ,1607925600
Kismayo,-0.3582,42.5454,81.73,76,0,12.93,SO,1607925600
Saint-Leu,-21.15,55.2833,77.54,78,48,15.46,RE,1607925600
Vestmannaeyjar,63.4427,-20.2734,41.52,68,100,12.86,IS,1607925600
Lithgow,-33.4833,150.15,57.11,88,99,7.67,AU,1607925600
Qandala,11.472,49.8728,75.61,51,2,8.03,SO,1607925600
Korbous,36.8167,10.5687,55.6,76,43,14.52,TN,1607925600
Oranjemund,-28.55,16.4333,62.55,78,1,11.77,NA,1607925600
Kulhudhuffushi,6.6221,73.07,82.44,66,0,4.52,MV,1607925600
Nyamuswa,-1.9,34.0167,69.13,88,59,3.06,TZ,1607925600
Province of Mantua,45.1667,10.7833,37.06,92,46,0.25,IT,1607925600
Calvillo,21.85,-102.7167,60.57,31,65,1.88,MX,1607925600
Moree,-29.4667,149.85,81.48,43,87,7.94,AU,1607925600
Kerema,-7.9631,145.7785,86.34,65,78,7.2,PG,1607925600
Aklavik,68.2191,-135.0107,-7.78,83,99,9.98,CA,1607925600
Guerrero Negro,27.9769,-114.0611,57.65,37,0,5.73,MX,1607925600
Isla Mujeres,21.2311,-86.731,78.37,86,3,9.1,MX,1607925600
Pisco,-13.7,-76.2167,66.38,86,46,4.97,PE,1607925600
Alyangula,-13.8483,136.4192,87.73,62,64,9.71,AU,1607925600
Beeville,28.4008,-97.7483,47.57,58,48,18.86,US,1607925600
Porto Walter,-8.2686,-72.7439,71.4,97,100,2.42,BR,1607925600
Parksepa,57.9062,26.9836,27.5,95,100,3.0,EE,1607925600
Sawākin,19.1059,37.3321,79.2,72,34,5.46,SD,1607925600
Arlit,18.7369,7.3853,67.87,22,0,5.75,NE,1607925600
Muroto-misakicho,33.2833,134.15,53.02,55,69,24.05,JP,1607925600
Ariogala,55.2667,23.4667,30.45,93,95,3.36,LT,1607925600
Itakyry,-24.9333,-55.2167,68.2,96,97,0.13,PY,1607925600
Buchanan,5.8808,-10.0467,77.38,88,24,1.1,LR,1607925600
Munai,7.9758,124.0636,80.19,75,100,5.01,PH,1607925600
Fuling,29.7022,107.3919,48.16,55,89,2.39,CN,1607925600
Springbok,-29.6643,17.8865,63.21,24,0,1.66,ZA,1607925600
Kununurra,-15.7667,128.7333,96.71,44,88,5.95,AU,1607925600
Mezen',65.8522,44.24,25.25,98,100,5.75,RU,1607925600
Ostrovnoy,68.0531,39.5131,28.72,97,87,3.94,RU,1607925600
Bayan,46.0833,127.4,-1.77,88,1,9.04,CN,1607925600
Boa Vista,2.8197,-60.6733,78.03,71,27,2.98,BR,1607925600
Nyurba,63.2842,118.3319,-16.65,86,100,8.5,RU,1607925600
Salinópolis,-0.6136,-47.3561,79.32,82,10,7.31,BR,1607925600
Fort Nelson,58.8053,-122.7002,0.14,85,95,5.61,CA,1607925600
Faanui,-16.4833,-151.75,80.65,72,0,9.55,PF,1607925600
Huntingdon,52.3305,-0.1865,49.69,87,100,14.61,GB,1607925600
Lorengau,-2.0226,147.2712,84.43,77,100,7.43,PG,1607925600
Turukhansk,65.8167,87.9833,4.5,94,100,12.95,RU,1607925600
Gamba,-2.65,10.0,76.75,88,95,4.32,GA,1607925600
Saint-Augustin,51.226,-58.6502,26.58,96,100,21.16,CA,1607925600
Toccoa,34.5773,-83.3324,51.46,92,95,3.09,US,1607925600
Belyy Yar,53.6039,91.3903,19.98,76,49,13.87,RU,1607925600
Poya,-21.35,165.15,83.52,69,100,8.25,NC,1607925600
Atar,20.5169,-13.0499,64.27,26,100,6.87,MR,1607925600
Marystown,47.1666,-55.1483,36.57,92,100,21.16,CA,1607925600
Rogaška Slatina,46.2375,15.6397,33.69,91,48,2.46,SI,1607925600
El Salvador,13.8333,-88.9167,70.43,91,33,1.77,SV,1607925600
Clovis,36.8252,-119.7029,51.06,85,94,2.51,US,1607925600
Northam,51.0333,-4.2167,48.15,85,85,19.89,GB,1607925600
Saint-Pierre,-21.3393,55.4781,78.04,76,57,15.5,RE,1607925600
Pierre,44.3683,-100.351,17.4,73,29,5.19,US,1607925600
Castlegar,49.2998,-117.6689,29.35,83,98,0.27,CA,1607925600
Kahului,20.8947,-156.47,76.55,76,38,5.21,US,1607925600
Richards Bay,-28.783,32.0377,81.14,77,25,11.32,ZA,1607925600
Sibolga,1.7427,98.7792,85.59,61,92,6.04,ID,1607925600
Ca Mau,9.1769,105.15,87.39,68,91,10.47,VN,1607925600
Apatou,5.155,-54.3472,72.32,97,28,2.15,GF,1607925600
Cortez,37.3489,-108.5859,16.54,87,45,5.91,US,1607925600
Cessnock,-32.8333,151.35,68.83,81,95,5.32,AU,1607925600
Jambi City,-1.6,103.6167,87.01,68,99,1.9,ID,1607925600
Nerang,-27.9833,153.3333,73.27,91,98,14.47,AU,1607925600
Philadelphia,39.9523,-75.1638,45.57,63,75,3.47,US,1607925600
Alexandria,31.2156,29.9553,64.58,59,42,20.11,EG,1607925600
Port-Cartier,50.0334,-66.8654,27.12,92,100,20.07,CA,1607925600
Songjianghe,42.1859,127.479,2.12,71,100,11.05,CN,1607925600
Baruun-Urt,46.6806,113.2792,-7.51,83,0,10.6,MN,1607925600
Ceres,37.5949,-120.9577,48.16,96,81,4.32,US,1607925600
Kargasok,59.0556,80.8572,11.84,96,100,10.98,RU,1607925600
Terra Roxa,-23.8557,-50.0314,66.38,98,0,0.87,BR,1607925600
Olafsvik,64.8945,-23.7142,37.89,78,98,26.33,IS,1607925600
Arrondissement de Brive-la-Gaillarde,45.25,1.5,44.94,66,100,1.54,FR,1607925600
Haines Junction,60.7522,-137.5108,-5.03,84,100,2.06,CA,1607925600
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,64.36,84,94,8.28,AR,1607925600
Valverde del Camino,37.5751,-6.7543,56.07,90,100,1.1,ES,1607925600
Jalu,29.0331,21.5482,53.8,59,0,19.33,LY,1607925600
Vila Velha,-20.3297,-40.2925,74.34,81,36,10.18,BR,1607925600
Chowchilla,37.123,-120.2602,49.75,95,91,2.75,US,1607925600
Trāl,33.9333,75.1,41.67,64,22,2.35,IN,1607925600
Damnoen Saduak,13.5182,99.9547,94.48,48,66,1.74,TH,1607925600
Coyhaique,-45.5752,-72.0662,44.02,93,86,7.54,CL,1607925600
Oriximiná,-1.7656,-55.8661,78.66,71,96,2.28,BR,1607925600
Abu Dhabi,24.4667,54.3667,71.37,60,10,4.99,AE,1607925600
Toamasina,-18.1667,49.3833,77.45,83,40,9.42,MG,1607925600
Beringovskiy,63.05,179.3167,25.61,98,100,20.18,RU,1607925600
Bilibino,68.0546,166.4372,1.69,88,100,3.02,RU,1607925600
Mikulov,48.8056,16.6378,34.92,98,22,1.7,CZ,1607925600
Dois Vizinhos,-25.7336,-53.0572,64.94,100,98,3.65,BR,1607925600
Bonavista,48.6499,-53.1147,28.9,98,100,17.78,CA,1607925600
Erdemli,36.605,34.3084,60.12,68,99,22.08,TR,1607925600
Tautira,-17.7333,-149.15,81.52,65,27,11.07,PF,1607925600
Orocué,4.7912,-71.3354,73.74,86,100,5.59,CO,1607925600
Koslan,63.4564,48.8989,15.78,96,83,6.26,RU,1607925600
Zhigansk,66.7697,123.3711,-42.3,79,62,13.89,RU,1607925600
Real,14.6625,121.6047,86.29,66,46,10.36,PH,1607925600
Galle,6.0367,80.217,81.75,74,43,5.26,LK,1607925600
Lac du Bonnet,50.2536,-96.0612,-3.89,84,100,8.03,CA,1607925600
Agüimes,27.9054,-15.4461,60.76,76,44,6.24,ES,1607925600
Teahupoo,-17.8333,-149.2667,79.27,70,36,11.21,PF,1607925600
San Rafael,-34.6177,-68.3301,67.82,24,0,10.47,AR,1607925600
Warri,5.5167,5.75,76.12,94,29,1.07,NG,1607925600
Kostanay,53.1667,63.5833,10.9,85,22,6.73,KZ,1607925600
Penzance,50.1186,-5.5371,51.78,78,65,28.68,GB,1607925600
Bathsheba,13.2167,-59.5167,78.44,84,20,11.68,BB,1607925600
Chililabombwe,-12.3648,27.8229,62.92,96,100,4.59,ZM,1607925600
Roebourne,-20.7833,117.1333,88.79,46,11,12.66,AU,1607925600
Vardø,70.3705,31.1107,31.78,85,86,9.78,NO,1607925600
Atraulī,28.0333,78.2833,68.43,42,0,9.82,IN,1607925600
Huarmey,-10.0681,-78.1522,67.08,86,89,9.24,PE,1607925600
Sistranda,63.7256,8.834,39.45,71,10,7.2,NO,1607925600
Korla,41.7597,86.1469,26.69,79,0,1.99,CN,1607925600
Shache,38.4167,77.2406,29.71,96,88,7.76,CN,1607925600
Ellisras,-23.6649,27.7443,77.18,66,80,9.93,ZA,1607925600
Stokmarknes,68.5646,14.9108,37.27,76,80,5.57,NO,1607925600
Dauphin,51.1494,-100.0502,-0.62,84,1,1.92,CA,1607925600
North Platte,41.1239,-100.7654,27.19,78,1,5.68,US,1607925600
Kitimat,54.0524,-128.6534,28.94,92,89,2.98,CA,1607925600
Vitim,59.4511,112.5578,-14.93,82,77,5.26,RU,1607925600
Kitsuki,33.4167,131.6167,43.84,56,70,19.13,JP,1607925600
Kemijärvi,66.7131,27.4306,26.15,98,100,1.32,FI,1607925600
Sarakhs,36.5449,61.1577,37.56,77,0,7.92,IR,1607925600
Opuwo,-18.0607,13.84,69.13,34,17,0.51,NA,1607925600
Srednekolymsk,67.45,153.6833,-21.64,86,100,9.19,RU,1607925600
Cabuyaro,4.2817,-72.794,73.2,80,92,3.53,CO,1607925600
Maxixe,-23.8597,35.3472,84.33,79,25,5.5,MZ,1607925600
Havre-St-Pierre,50.2334,-63.5986,24.08,91,95,23.71,CA,1607925600
Iqaluit,63.7506,-68.5145,13.48,82,83,12.93,CA,1607925600
Banepā,27.6298,85.5214,64.22,47,10,2.42,NP,1607925600
Iquitos,-3.7481,-73.2472,72.3,96,90,1.72,PE,1607925600
Hanmer Springs,-42.5167,172.8167,66.65,49,45,4.32,NZ,1607925600
Bāfq,31.6128,55.4107,45.36,59,0,0.83,IR,1607925600
Manbij,36.5281,37.9549,49.98,83,87,15.5,SY,1607925600
Kjøllefjord,70.9457,27.3465,27.16,86,28,10.45,NO,1607925600
Mizdah,31.4451,12.9801,45.88,77,17,10.25,LY,1607925600
Savannakhet,16.566,104.751,89.44,58,39,5.79,LA,1607925600
Mazara del Vallo,37.6641,12.588,57.45,75,67,16.58,IT,1607925600
Itarema,-2.9248,-39.9167,80.19,77,13,13.49,BR,1607925600
Pemba,-12.974,40.5178,81.28,81,49,8.99,MZ,1607925600
Tirunelveli,8.7333,77.7,83.66,63,51,9.62,IN,1607925600
Portland,45.5234,-122.6762,41.88,88,95,1.16,US,1607925600
Dharān,26.8125,87.2835,73.65,51,3,4.68,NP,1607925600
Muisne,0.6,-80.0333,74.75,89,100,8.19,EC,1607925600
Tingi,-11.3,35.0333,73.09,82,92,3.67,TZ,1607925600
Hagi,34.4,131.4167,40.23,64,87,18.3,JP,1607925600
Lima,-12.0432,-77.0282,66.99,83,84,5.35,PE,1607925600
Comodoro Rivadavia,-45.8667,-67.5,58.23,52,45,37.38,AR,1607925600
Poum,-20.2333,164.0167,81.3,80,100,23.91,NC,1607925600
Papara,-3.9839,-38.7273,77.74,82,62,5.21,BR,1607925600
Lensk,60.7253,114.9278,-9.49,82,100,8.39,RU,1607925600
Nelson Bay,-32.7167,152.15,70.9,77,95,14.05,AU,1607925600
Porto-Novo,6.4965,2.6036,78.35,88,11,4.25,BJ,1607925600
Lillooet,50.6856,-121.942,32.67,88,93,1.52,CA,1607925600
Luganville,-15.5333,167.1667,84.22,78,75,9.31,VU,1607925600
Dingcheng,32.1272,115.0394,35.55,71,100,10.33,CN,1607925600
Dubbo,-32.25,148.6167,78.35,45,96,15.3,AU,1607925600
Castro,-24.7911,-50.0119,64.62,91,28,4.72,BR,1607925600
Hurghada,27.2574,33.8129,76.59,58,0,14.29,EG,1607925600
Verāval,20.9,70.3667,77.27,47,9,11.86,IN,1607925600
Kampene,-3.6,26.6667,69.89,94,100,2.93,CD,1607925600
Namatanai,-3.6667,152.4333,84.11,75,98,6.91,PG,1607925600
Duki,30.1541,68.5728,49.91,51,0,2.93,PK,1607925600
Kholmogory,64.2229,41.656,17.42,95,94,2.62,RU,1607925600
Tessalit,20.1986,1.0114,60.39,33,0,6.38,ML,1607925600
Vágur,61.4732,-6.8119,47.82,90,100,28.05,FO,1607925600
Kimbe,-5.5502,150.1429,79.72,86,100,4.97,PG,1607925600
Lucapa,-8.4192,20.7447,65.07,99,100,3.65,AO,1607925600
Road Town,18.4167,-64.6167,78.64,85,0,13.8,VG,1607925600
Sheridan,44.8333,-106.9173,21.65,88,48,2.84,US,1607925600
Airai,-8.9266,125.4092,71.13,95,100,1.7,TL,1607925600
Caconda,-13.7333,15.0667,58.98,70,100,4.45,AO,1607925600
Lunglei,22.8833,92.7333,78.62,44,16,3.78,IN,1607925600
Nishihara,26.1842,127.7558,65.48,71,95,16.49,JP,1607925600
Port Augusta,-32.5,137.7667,95.29,23,87,7.76,AU,1607925600
Acarí,-15.4311,-74.6158,68.32,68,76,3.36,PE,1607925600
Luanda,-8.8368,13.2343,74.41,79,85,5.79,AO,1607925600
Pitkyaranta,61.5734,31.4792,25.21,97,99,2.71,RU,1607925600
Aden,12.7794,45.0367,77.81,63,2,13.2,YE,1607925600
Lebedinyy,58.5167,125.5167,-33.59,83,4,1.1,RU,1607925600
Sorsk,54.0033,90.2467,7.03,90,100,5.1,RU,1607925600
Samarai,-10.6167,150.6667,83.25,74,97,7.78,PG,1607925600
Manokwari,-0.8667,134.0833,84.07,72,100,1.74,ID,1607925600
Umm Kaddadah,13.6017,26.6876,73.76,19,55,9.6,SD,1607925600
West Plains,36.7281,-91.8524,33.58,89,95,10.16,US,1607925600
Moussoro,13.6408,16.4901,74.98,18,1,10.54,TD,1607925600
Fairbanks,64.8378,-147.7164,6.1,73,95,7.94,US,1607925600
Falmouth,50.1544,-5.0711,50.61,79,70,22.82,GB,1607925600
Altamira,-3.2033,-52.2064,73.33,94,55,3.62,BR,1607925600
Porbandar,21.6422,69.6093,76.64,41,11,13.98,IN,1607925600
Gejiu,23.306,103.1635,60.94,85,87,7.36,CN,1607925600
Queimadas,-10.9783,-39.6264,67.84,83,88,4.9,BR,1607925600
St. George's,12.0564,-61.7485,78.62,89,10,10.02,GD,1607925600
Bacolod City,10.6667,122.95,85.62,70,1,14.67,PH,1607925600
La Asuncion,11.0333,-63.8628,78.62,87,0,12.17,VE,1607925600
Kamina,-8.7386,24.9906,64.2,98,100,1.95,CD,1607925600
La Libertad,-2.2333,-80.9,71.87,84,69,10.22,EC,1607925600
Fereydūnkenār,36.6864,52.5225,48.36,54,4,5.5,IR,1607925600
Ol'ga,43.7444,135.2892,9.18,75,0,15.05,RU,1607925600
